UNIT,Chemistry,Artists,US History 1,Rocks + Minerals,US History 2,Astronomy,US History 3,South America,Living off the Land,Money Step 6 (Personal Finance),TOTALS
Physical Science,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours
,Optional LA Addition,,,,,,,,"Filter contaminated water experiment
Complete lab report
Add 10 hours for Biology

Acoustic sound absorption techniques experiment
Complete lab report
Add 10 hours for Physics

Complete a seed germination experiment
Complete lab report
Add 10 hours for Biology

Perform multiple variations of carbonation lab from L12 
Complete lab report
Add 10 hours for Chemistry",,
,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,"Optional Chemistry/
Physics Lab",,,,,,,
,,,,"Design another rock candy recipe and modify variables
Complete lab report
Add 10 hours for Chemistry

Perform more than one conduction experiment from the list on the resources page
Complete lab report
Add 10 hours for Physics

Research another method for growing a specific type of crystals and try it
Complete lab report
Add 10 hours for Chemistry",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Optional LA Addition,,,,,
,,,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Optional LA Addition,,
,,,,,,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,
